brand,model,wattage,size,price,status
DarkFlash, DR12 PRO,6,120,333.33,TRUE
Inplay,Ice Tower V2,6,120,181.66,TRUE
Gstorm,Phantom,6,120,165,TRUE
Deepcool,RF120B,6,120,230,TRUE
DarkFlash,DM12F,6,120,250,TRUE
DarkFlash,INF 24 Pro,6,120,410,TRUE
RAKK, MARIS Flip,6,120,398.33,TRUE
Abko,Spider Spectrum,6,120,460,TRUE
Artic,P12 PWM PST,6,120,700,TRUE
Gstorm,Blaze FS,6,120,100,TRUE
Ovation,ACC 4in1,6,120,156.25,TRUE
DarkFlash,DM12 F,6,120,360,TRUE
DarkFlash,Infinity24,6,120,28,TRUE
YGT,#1250,6,120,795,TRUE
RAKK,MARIS FLIP,6,120,431.66,TRUE
Arctic,P12 PWM PST,6,120,400,TRUE
Deepcool,RF120 FS,6,120,740,TRUE
Darkflash,C6Mz,6,120,260,TRUE
Deepcool,CF120,6,120,765,TRUE
COOLERMASTER,MASTERFAN MF120,6,120,910,TRUE
Ovation,ACC,6,120,227.5,TRUE
DarkFlash,Infinity24,6,120,371.66,TRUE
Gstorm,Generic fan,6,120,35,TRUE
Aerocool,APNX FP1-120,6,120,1025,TRUE
Inplay,eaview Tower X3-B,6,120,225,TRUE
INPLAY,ICE ONE SINGLE FAN,6,120,125,TRUE
Keytech,White Tornado,6,120,520,TRUE
Inplay,Seaview One X1-B,6,120,210,TRUE
Deepcool,RF120r,6,120,230,TRUE
Keytech,Storm X3 v2,6,120,247.5,TRUE
Keytech,Tornado,6,120,173.33,TRUE
Inplay,Seaview Tower X3-W,6,120,228.33,TRUE
Deepcool,XFan,6,120,140,TRUE
Rakk,Ounos,6,120,165,TRUE
RAKK,Maris Duo,6,120,400,TRUE
Deepcool,Wind Blade,6,120,180,TRUE
Rakk,Maris,6,120,400,TRUE
Omega,Nova2,6,120,540,TRUE
Omega,Nova,6,120,295,TRUE
DEEPCOOL,RF120,6,120,521.66,TRUE
Abko,Spider Spectrum,6,120,600,TRUE
Abko,Spider,6,120,350,TRUE
RAKK,Maris Pro,6,120,365,TRUE
Deepcool,CF120,6,120,763,TRUE
Deepcool,Wind Blade,6,120,192,TRUE
Fantech,FB-301,6,120,275,TRUE
Rakk,Maris Spectra,6,120,400,TRUE
Deepcool,XFan,6,120,195,TRUE
AD-Link,chassis fan black,6,120,50,TRUE
Corsair,ML140 PRO,6,120,1422,TRUE
RAKK,ABYSS,6,120,431.66,TRUE
Inwin,Sirius Loop ASL120,6,120,359.66,TRUE
Deepcool,RF120M,6,120,1099,TRUE
ID Cooling,XF12025,6,120,378.33,TRUE
Lian Li,Uni Fan,6,120,1150,TRUE
Gamdias,AEOLUS M2-1204R,6,120,910,TRUE
NOCTUA,NF-F12 PWM,6,120,929,TRUE
InPlay,Aurora Tower,6,120,216.66,TRUE
InPlay,Aurora One,6,120,145,TRUE
G Storm,Blaze Slim,6,120,150,TRUE
InWin,LUNA AL120,6,120,386.33,TRUE
InWin,Sirius Extreme Pure ASE120P,6,120,1349,TRUE
BeQuiet,SILENT WINGS,6,120,929,TRUE
Arctic,P12 PWM PST,6,120,690,TRUE
Arctic,F12 PWM PST,6,120,352,TRUE
Deepcool,RF120B,6,120,230,TRUE
Deepcool,CF120,6,120,765,TRUE
COOLERMASTER,MASTERFAN MF120,6,120,946.66,TRUE
Inplay,Seaview One X1-W Single,6,120,210,TRUE
Ovation,ACC,6,120,256.66,TRUE